Linear Regression	TV	Radio	Newspaper
continuous	continuous	continuous	continuous
meta			
20.524	230.1	37.8	69.2
12.3379	44.5	39.3	45.1
12.3077	17.2	45.9	69.3
17.5978	151.5	41.3	58.5
13.1887	180.8	10.8	58.4
12.4783	8.7	48.9	75
11.7298	57.5	32.8	23.5
12.123	120.2	19.6	11.6
3.72734	8.6	2.1	1
12.5508	199.8	2.6	21.2
7.0323	66.1	5.8	24.2
17.2851	214.7	24	4
10.5771	23.8	35.1	65.9
8.8263	97.5	7.6	7.2
18.4344	204.1	32.9	46
20.8193	195.4	47.7	52.9
12.8237	67.8	36.6	114
23.225	281.4	39.6	55.8
9.95168	69.2	20.5	18.3
14.1661	147.3	23.9	19.1
18.1008	218.4	27.7	53.4
14.7405	237.4	5.1	23.5
6.48915	13.2	15.9	49.6
16.5459	228.3	16.9	26.2
8.14652	62.3	12.6	18.3
15.61	262.9	3.5	19.5
14.9895	142.9	29.3	12.6
17.0517	240.1	16.7	22.9
19.4105	248.8	27.1	22.9
9.14402	70.6	16	40.8
21.6339	292.9	28.3	43.2
11.3461	112.9	17.4	38.6
7.63888	97.2	1.5	30
18.8643	265.6	20	0.3
7.57483	95.7	1.4	7.4
17.0068	290.7	4.1	8.5
23.4059	266.9	43.8	5
15.6235	74.7	49.4	45.7
9.90868	43.1	26.7	35.1
20.4476	228	37.7	32
16.3777	202.5	22.3	31.6
17.296	177	33.4	38.7
21.5958	293.6	27.7	1.8
13.9639	206.9	8.4	26.4
8.88788	25.1	25.7	43.3
15.1615	175.1	22.5	31.5
8.87339	89.7	9.9	35.7
21.7226	239.9	41.5	18.5
16.2636	227.2	15.8	49.9
8.16817	66.9	11.7	36.8
12.6312	199.8	3.1	34.6
9.33981	100.4	9.6	3.6
20.663	216.4	41.7	39.6
19.9447	182.6	46.2	58.7
20.3744	262.7	28.8	15.9
21.2926	198.9	49.4	60
8.52771	7.3	28.1	41.4
12.7746	136.2	19.2	16.6
21.8981	210.8	49.6	37.7
18.1335	210.7	29.5	9.3
5.74216	53.5	2	21.4
22.8907	261.3	42.7	54.7
16.7843	239.3	15.5	27.3
13.2107	102.7	29.6	8.4
16.9777	131.1	42.8	28.9
7.84905	69	9.3	0.9
9.01603	31.5	24.6	2.2
12.037	139.3	14.5	10.2
18.9766	237.4	27.5	11
21.1089	216.8	43.9	27.2
17.7795	199.1	30.6	38.7
10.6269	109.8	14.3	31.7
10.3668	26.8	33	19.3
9.90298	129.4	5.7	31.3
17.3293	213.4	24.6	13.1
11.8583	16.9	43.7	89.4
4.47759	27.5	1.6	20.7
13.8119	120.5	28.5	14.2
8.81331	5.4	29.9	9.4
9.6753	116	7.7	23.1
11.4459	76.4	26.7	22.3
14.6479	239.8	4.1	36.9
10.1784	75.3	20.3	32.5
14.4218	68.4	44.5	35.6
20.7814	213.5	43	33.8
